example_id,annotator,batch_id,context,query,gold,baselines_results,is_ill_defined,knowledge_level
1-848_5134a364-f0a5-4ab3-bee7-78f5387b88db,annotator1,9afc373b-86b0-4b10-b9c0-7cd5721f7085,"The confidence calibration of large language models (LLMs) in response to prompts has not been thoroughly explored, despite the significant impact that prompting strategies have on their performance. Existing methods may improve expected calibration but can also lead to over-confidence in certain instances, indicating a need for better approaches to enhance LLM reliability.","In this context, what would be a good source of inspiration for **Llm**?",human cognition,"{""mpnet_zero"": {""suggestion"": ""existing calibration methods for large language models"", ""k"": ""1"", ""rank"": 1}, ""positive"": {""suggestion"": ""human cognition"", ""k"": ""1"", ""rank"": 2}, ""random"": {""suggestion"": ""traditional backend optimization methods"", ""k"": ""1"", ""rank"": 3}, ""sciIE"": {""suggestion"": ""zero-shot prompting of large language models (LLMs)"", ""k"": ""1"", ""rank"": 4}, ""gpt-4o"": {""suggestion"": ""human metacognition"", ""k"": ""1"", ""rank"": 5}, ""ours"": {""suggestion"": ""uncertainty estimation literature in large language models"", ""k"": ""1"", ""rank"": 6}}",checked,3
1-37730_6df467e6-c5d7-4a07-9565-99147fcadcdb,annotator1,9afc373b-86b0-4b10-b9c0-7cd5721f7085,"Existing methods for temporal relation extraction struggle with limited and unevenly distributed annotated data, highlighting a need for more effective approaches to understand task requests in crowdsourcing systems. This gap in research necessitates innovative solutions that can leverage abundant global knowledge to enhance performance in this area.","In this context, what would be a good source of inspiration for **Temporal relation extraction**?",the abundant global knowledge stored within pre-trained language models,"{""sciIE"": {""suggestion"": ""relation extraction"", ""k"": ""1"", ""rank"": 6}, ""gpt-4o"": {""suggestion"": ""transfer learning"", ""k"": ""1"", ""rank"": 3}, ""positive"": {""suggestion"": ""the abundant global knowledge stored within pre-trained language models"", ""k"": ""1"", ""rank"": 1}, ""mpnet_zero"": {""suggestion"": ""Relation extraction models"", ""k"": ""1"", ""rank"": 5}, ""ours"": {""suggestion"": ""Question answering over heterogeneous data"", ""k"": ""1"", ""rank"": 2}, ""random"": {""suggestion"": ""a supervised contrastive loss"", ""k"": ""1"", ""rank"": 4}}",,4
1-42304_544e6956-8092-4102-8996-c9d4a7500a75,annotator1,9afc373b-86b0-4b10-b9c0-7cd5721f7085,"The performance of large language models (LLMs) can be significantly enhanced through effective prompt optimization, yet existing methods may not fully leverage the potential of LLMs as prompt optimizers. There is a need for improved strategies that systematically analyze and refine task prompts to achieve better outcomes in various benchmarks.","In this context, what would be a good source of inspiration for **Llm-based prompt optimizers**?",gradient-based model optimizers,"{""gpt-4o"": {""suggestion"": ""genetic algorithms"", ""k"": ""1"", ""rank"": 2}, ""ours"": {""suggestion"": ""the concept of prompt tuning"", ""k"": ""1"", ""rank"": 5}, ""mpnet_zero"": {""suggestion"": ""prompt-engineering-based large language models"", ""k"": ""1"", ""rank"": 4}, ""random"": {""suggestion"": ""Learning effective representations from raw data"", ""k"": ""1"", ""rank"": 6}, ""positive"": {""suggestion"": ""gradient-based model optimizers"", ""k"": ""1"", ""rank"": 1}, ""sciIE"": {""suggestion"": ""prompt-engineering-based large language models (LLMs)"", ""k"": ""1"", ""rank"": 3}}",,3
1-23981_af245886-71d0-41f7-80a0-f0df90e5ec51,annotator1,9afc373b-86b0-4b10-b9c0-7cd5721f7085,"The ability of large language models (LLMs) to distinguish subtle sentiments remains a challenge, indicating a need for improved methods in sentiment analysis. Existing in-context learning (ICL) approaches may not adequately address sentiment misinterpretation, highlighting a gap in the effectiveness of current techniques.","In this context, what would be a good source of inspiration for **Large language models**?",the human ability to adjust understanding via feedback,"{""random"": {""suggestion"": ""spatial features"", ""k"": ""1"", ""rank"": 1}, ""gpt-4o"": {""suggestion"": ""human emotional intelligence"", ""k"": ""1"", ""rank"": 2}, ""ours"": {""suggestion"": ""in-context learning in natural language processing"", ""k"": ""1"", ""rank"": 3}, ""sciIE"": {""suggestion"": ""fine-tuned large language models (LLMs)"", ""k"": ""1"", ""rank"": 4}, ""mpnet_zero"": {""suggestion"": ""a sentiment analysis model using local large language models"", ""k"": ""1"", ""rank"": 5}, ""positive"": {""suggestion"": ""the human ability to adjust understanding via feedback"", ""k"": ""1"", ""rank"": 6}}",checked,3
1-34117_868de9d7-8184-4bfc-b655-a3df1c2c4980,annotator1,9afc373b-86b0-4b10-b9c0-7cd5721f7085,"Assessing long-form responses generated by Vision-Language Models (VLMs) is challenging due to the need to verify both adherence to instructions and the grounding of text outputs in the provided images. This highlights a gap in effective evaluation methods for VLMs, necessitating innovative approaches to improve assessment accuracy and transparency.","In this context, what would be a good source of inspiration for **Evaluating vision-language models**?",evaluating LMs with LMs,"{""gpt-4o"": {""suggestion"": ""human visual perception"", ""k"": ""1"", ""rank"": 4}, ""positive"": {""suggestion"": ""evaluating LMs with LMs"", ""k"": ""1"", ""rank"": 2}, ""random"": {""suggestion"": ""the parameters trained with gradient descent"", ""k"": ""1"", ""rank"": 6}, ""ours"": {""suggestion"": ""human evaluation"", ""k"": ""1"", ""rank"": 3}, ""sciIE"": {""suggestion"": ""multimodal vision-language models (VLMs)"", ""k"": ""1"", ""rank"": 5}, ""mpnet_zero"": {""suggestion"": ""evaluate high-level cognitive ability of Large Vision-Language Models using images with rich semantics"", ""k"": ""1"", ""rank"": 1}}",,2
1-848_8cf46458-3b1a-47b0-b819-4210de88aa61,annotator1,8599401e-f3f4-403f-bb15-985dd8cfad2b,"Existing literature has predominantly focused on ingroup favoritism, often overlooking outgroup bias, which is a fundamental source of intergroup prejudice and discrimination. This gap in research highlights the need to explore how identity assignments in large language models can lead to both ingroup favoritism and outgroup bias.","In this context, what would be a good source of inspiration for **Artificial intelligence**?",human cognition,"{""positive"": {""suggestion"": ""human cognition"", ""k"": ""1"", ""rank"": 1}, ""random"": {""suggestion"": ""item's correlation and sequential information from the search system to build a heterogeneous graph for better Click-through-rate prediction in e-commerce search"", ""k"": ""1"", ""rank"": 2}, ""ours"": {""suggestion"": ""social philosophy"", ""k"": ""1"", ""rank"": 3}, ""sciIE"": {""suggestion"": ""inter-identity discrimination"", ""k"": ""1"", ""rank"": 4}, ""mpnet_zero"": {""suggestion"": ""modeling the intergroup bias"", ""k"": ""1"", ""rank"": 5}, ""gpt-4o"": {""suggestion"": ""social identity theory"", ""k"": ""1"", ""rank"": 6}}",checked,3
1-40473_92341f82-89ed-4e50-a21c-e848cddb91c1,annotator1,8599401e-f3f4-403f-bb15-985dd8cfad2b,Reasoning about compositional rules is challenging because it requires multiple reasoning steps and attending to the logical relationships between elements. There is a need for effective methods to elicit rule-based reasoning in complex logical expressions.,"In this context, what would be a good source of inspiration for **Causal language models as rule-based reasoners**?","the Issue, Rule, Application, Conclusion (Issue, Rule, Application, Conclusion) framework, a sequential reasoning approach used by lawyers","{""sciIE"": {""suggestion"": ""rule-based reasoners"", ""k"": ""1"", ""rank"": 5}, ""random"": {""suggestion"": ""unitary weights"", ""k"": ""1"", ""rank"": 6}, ""gpt-4o"": {""suggestion"": ""symbolic logic systems"", ""k"": ""1"", ""rank"": 3}, ""mpnet_zero"": {""suggestion"": ""rule-based logic"", ""k"": ""1"", ""rank"": 4}, ""positive"": {""suggestion"": ""the Issue, Rule, Application, Conclusion (Issue, Rule, Application, Conclusion) framework, a sequential reasoning approach used by lawyers"", ""k"": ""1"", ""rank"": 1}, ""ours"": {""suggestion"": ""Pearl's structural causal models"", ""k"": ""1"", ""rank"": 2}}",,2
1-710_6debd94c-e2b4-4874-a585-24876952adbb,annotator1,8599401e-f3f4-403f-bb15-985dd8cfad2b,"The propagation of social biases within large language models, inherited from diverse training datasets, presents a significant challenge in understanding and mitigating these biases. There is a necessity for tailored debiasing strategies and a deeper understanding of the complex mechanisms and pathways through which bias operates in these models.","In this context, what would be a good source of inspiration for **The evolution of bias-related features in large language models**?",causal mediation analysis,"{""random"": {""suggestion"": ""a Lagrangian-mechanics-based physical model"", ""k"": ""1"", ""rank"": 6}, ""gpt-4o"": {""suggestion"": ""cultural evolution theory"", ""k"": ""1"", ""rank"": 2}, ""mpnet_zero"": {""suggestion"": ""studying biases and inherent knowledge of large language modelss"", ""k"": ""1"", ""rank"": 3}, ""sciIE"": {""suggestion"": ""Large Language Model Bias Index (LLMBI)"", ""k"": ""1"", ""rank"": 4}, ""positive"": {""suggestion"": ""causal mediation analysis"", ""k"": ""1"", ""rank"": 5}, ""ours"": {""suggestion"": ""the spread of rumors or influence in an online social network"", ""k"": ""1"", ""rank"": 1}}",,2
1-31870_974857e0-abd8-4ef1-8ef5-2ef3a634c21f,annotator1,8599401e-f3f4-403f-bb15-985dd8cfad2b,"The internal mechanisms of how multimodal large language models process features from diverse domains remain unexplored, indicating a need for further investigation into the distribution of domain-specific neurons. Additionally, while current models demonstrate Visual Question Answering capability, they do not fully utilize domain-specific information, highlighting a gap in their effectiveness.","In this context, what would be a good source of inspiration for **Projecting visual features into word embedding space**?",multilingual research,"{""positive"": {""suggestion"": ""multilingual research"", ""k"": ""1"", ""rank"": 2}, ""sciIE"": {""suggestion"": ""multimodal large language model"", ""k"": ""1"", ""rank"": 5}, ""random"": {""suggestion"": ""image-based generative AI"", ""k"": ""1"", ""rank"": 3}, ""gpt-4o"": {""suggestion"": ""multimodal transformers"", ""k"": ""1"", ""rank"": 6}, ""mpnet_zero"": {""suggestion"": ""state-of-the-art multimodal large language models"", ""k"": ""1"", ""rank"": 4}, ""ours"": {""suggestion"": ""the image-to-text mapping process by the multimodal connector"", ""k"": ""1"", ""rank"": 1}}",,2
1-7666_2a8784a6-8ba4-427a-83c8-f512ec6d752c,annotator1,8599401e-f3f4-403f-bb15-985dd8cfad2b,"Existing methods for early exiting in large language models require significant effort to train internal classifiers and can only achieve comparable performance at best, highlighting a need for more efficient approaches. Additionally, the high computational overhead associated with model inference presents a challenge that necessitates innovative solutions to accelerate inference while maintaining performance.","In this context, what would be a good source of inspiration for **The early exiting problem**?",a distribution prediction problem,"{""ours"": {""suggestion"": ""a sequential decision-making problem"", ""k"": ""1"", ""rank"": 2}, ""gpt-4o"": {""suggestion"": ""dynamic neural networks"", ""k"": ""1"", ""rank"": 3}, ""sciIE"": {""suggestion"": ""few-shot capabilities of large language models"", ""k"": ""1"", ""rank"": 1}, ""random"": {""suggestion"": ""Vision-Language foundation models (VL-models)"", ""k"": ""1"", ""rank"": 5}, ""mpnet_zero"": {""suggestion"": ""recent success of Large Language Models"", ""k"": ""1"", ""rank"": 6}, ""positive"": {""suggestion"": ""a distribution prediction problem"", ""k"": ""1"", ""rank"": 4}}",,2
1-11323_c67c7988-f949-4d36-bbbc-8c0c132d9a4c,annotator1,36c6fab5-add9-4de6-98a7-458238a50e5a,"Aligning language models with human preferences is crucial for better meeting diverse user needs, and there is a need to effectively transfer alignment behavior from weaker models to stronger ones. The observation that stronger models can benefit from the alignment capabilities of weaker models highlights a gap in existing approaches to model alignment.","In this context, what would be a good source of inspiration for **Model alignment**?",weak-to-strong generalization,"{""mpnet_zero"": {""suggestion"": ""the language model alignment"", ""k"": ""1"", ""rank"": 2}, ""gpt-4o"": {""suggestion"": ""human collaborative learning"", ""k"": ""1"", ""rank"": 3}, ""sciIE"": {""suggestion"": ""language model fine-tuning techniques"", ""k"": ""1"", ""rank"": 5}, ""positive"": {""suggestion"": ""weak-to-strong generalization"", ""k"": ""1"", ""rank"": 4}, ""random"": {""suggestion"": ""partitioning large-scale hypergraphs"", ""k"": ""1"", ""rank"": 6}, ""ours"": {""suggestion"": ""aligning Large Language Models with human preferences"", ""k"": ""1"", ""rank"": 1}}",,3
1-37407_dea6d3d7-f9e5-4d01-8685-22b3b9a2e164,annotator1,36c6fab5-add9-4de6-98a7-458238a50e5a,"The study identifies deficiencies in reference-free metrics used for evaluating the compatibility between textual descriptions and images, highlighting issues such as incoherent statements and excessive repetition in generated descriptions. This indicates a need for improved evaluation methods that can better align with human judgment and rectify the shortcomings of existing metrics.","In this context, what would be a good source of inspiration for **Evaluating the compatibility between textual descriptions and corresponding images**?",the Cobra Effect,"{""ours"": {""suggestion"": ""evaluating the quality of text generated by generative Large Language Models(LLMs)"", ""k"": ""1"", ""rank"": 5}, ""sciIE"": {""suggestion"": ""low consistency between image and text descriptions"", ""k"": ""1"", ""rank"": 3}, ""random"": {""suggestion"": ""the image-text mapping problem"", ""k"": ""1"", ""rank"": 1}, ""mpnet_zero"": {""suggestion"": ""a text-to-image alignment quality prediction task"", ""k"": ""1"", ""rank"": 4}, ""positive"": {""suggestion"": ""the Cobra Effect"", ""k"": ""1"", ""rank"": 2}, ""gpt-4o"": {""suggestion"": ""human visual perception"", ""k"": ""1"", ""rank"": 6}}",,3
1-38849_3c50b338-017d-4f6a-8159-dec2b56342d4,annotator1,36c6fab5-add9-4de6-98a7-458238a50e5a,"Previous works mostly focus on generating better responses but ignore interpretability, which is extremely important for constructing reliable dialogue systems. There is a need to empower systems with better interpretability to enhance the understanding of emotional support responses and establish connections between users and dialogue systems.","In this context, what would be a good source of inspiration for **Empower the system with better interpretability**?","the process of identifying, understanding, and regulating emotions","{""positive"": {""suggestion"": ""the process of identifying, understanding, and regulating emotions"", ""k"": ""1"", ""rank"": 1}, ""gpt-4o"": {""suggestion"": ""cognitive psychology"", ""k"": ""1"", ""rank"": 4}, ""mpnet_zero"": {""suggestion"": ""Emotion Support Conversation"", ""k"": ""1"", ""rank"": 3}, ""ours"": {""suggestion"": ""foundational principles of human communication within psychology"", ""k"": ""1"", ""rank"": 2}, ""random"": {""suggestion"": ""two branch paths from two different multi-scale approaches"", ""k"": ""1"", ""rank"": 5}, ""sciIE"": {""suggestion"": ""language-based interpretability"", ""k"": ""1"", ""rank"": 6}}",,3
1-28499_a7ef1baf-ab5c-453f-915e-f7d3429a8017,annotator1,36c6fab5-add9-4de6-98a7-458238a50e5a,"To enhance zero-shot translation, models need to share knowledge across languages, which is a challenge in many-to-many multilingual neural machine translation. Existing methods may not effectively leverage both semantic and linguistic features, limiting their ability to improve translation performance across diverse languages.","In this context, what would be a good source of inspiration for **The many-to-many multilingual neural machine translation**?",the process of integrating semantic features from the source sentences and linguistic features from the target sentences,"{""ours"": {""suggestion"": ""quantifying the alignment and overlap of concepts across languages in multilingual embeddings"", ""k"": ""1"", ""rank"": 1}, ""mpnet_zero"": {""suggestion"": ""Multilingual neural machine translation models"", ""k"": ""1"", ""rank"": 3}, ""positive"": {""suggestion"": ""the process of integrating semantic features from the source sentences and linguistic features from the target sentences"", ""k"": ""1"", ""rank"": 2}, ""sciIE"": {""suggestion"": ""Pre-trained sequence-to-sequence (seq2seq) multi-lingual models"", ""k"": ""1"", ""rank"": 4}, ""random"": {""suggestion"": ""cognitive load theory"", ""k"": ""1"", ""rank"": 6}, ""gpt-4o"": {""suggestion"": ""multilingual pretraining"", ""k"": ""1"", ""rank"": 5}}",,3
1-22875_9e64c8a0-a8f1-438a-b177-a11aa8e6a2a3,annotator1,36c6fab5-add9-4de6-98a7-458238a50e5a,"Existing methods for Emotion-Cause Pair Extraction tend to overfit spurious correlations, such as positional bias in benchmark datasets, rather than effectively capturing semantic features. Additionally, while large language models have strong capabilities, they suffer from uncontrollable outputs, leading to mediocre performance in this task.","In this context, what would be a good source of inspiration for **Emotion-cause pair extraction**?",recent work,"{""ours"": {""suggestion"": ""a dependency-sensitive language-modeling problem"", ""k"": ""1"", ""rank"": 4}, ""random"": {""suggestion"": ""a generic convolution path"", ""k"": ""1"", ""rank"": 5}, ""gpt-4o"": {""suggestion"": ""cognitive psychology insights"", ""k"": ""1"", ""rank"": 3}, ""positive"": {""suggestion"": ""recent work"", ""k"": ""1"", ""rank"": 6}, ""mpnet_zero"": {""suggestion"": ""Multimodal emotion recognition in conversation and multimodal emotion-cause pair extraction (multimodal emotion-cause pair extraction)"", ""k"": ""1"", ""rank"": 2}, ""sciIE"": {""suggestion"": ""multimodal emotion-cause pair extraction (MECPE)"", ""k"": ""1"", ""rank"": 1}}",,2
